Dispute ID,Sender,Message,Lable,Intervention Type A1,Intervention Type B1,Evaluation of Intervention Type,Intervention message A2,Intervention message B2,Evaluation of Intervention message (Which one did a better job on writing message based on intervention type?), Comments,Understanding and contextualization,Neutrality and impartiality,Empathy,Resolution (Bridging?),Note,,,,,,,,,
,B,"That tree is some distance from your driveway, and I'm not so sure the roots can affect the road that far. And that tree has been there for decades, almost a landmark. I'm very attached to it. Are you sure the roots caused the damage?",,,,,,,,,,,,,,,,,,,,,,
,A,"Don't make excuses that are irrelevant. My uncle knows a lot about trees, he used to build his own homes and he understands what it looks like when tree roots destroy pavement. My uncle never lied, and I believe what he said. He told me our pavement was caused by your tree roots. We need to fix this immediately.",,,,,,,,,,,,,,,,,,,,,,
,B,"I understand your concern, but I can't just cut down the tree. Let's find a solution that doesn't require complete removal. I have a lot of respect for your uncle, but I don't think that an untrained professional has enough experience to determine the location of the roots, maybe this is caused by the roots of another tree, maybe there is a better way to manage the roots. I'm sorry for the damage to your property and we can't discuss a solution until the responsibility has been clarified.",,,,,,,,,,,,,,,,,,,,,,
4,A,"Hello, how are you? Could you return the money I lent you before? It's the 1,000 CAD I lent you two years ago.",Complex,"4, 5, 13","1, 2, 5",2 - A is slightly better than B,"B, please, help A understand the value of the favors you provided in a more constructive manner, avoiding accusations of ungratefulness. Hi, it seems that A believes that B owes them 1,000 CAD whereas B is under the impression that the debt was paid off by giving back 400 CAD and providing numerous favors. Hi, would A be open to acknowledge the 400 CAD paid back by B as well as the mentioned favors reducing the existing debt to 500 CAD, and would B be open to acknowledge the existence of such a debt?","It seems both parties have benefited from each other in different ways. However, these gestures might not be equivalent in monetary value. To address this, let's consider evaluating the expenses and goods exchanged, assigning them monetary values where possible. This method could provide clarity and illuminate a path towards repayment. Additionally, communicating more compassionately can help both parties express and manage feelings constructively.",5 - B is significantly better than A,"A is very chunky and takes decisions on the behalf of the parties (proposing to reduce the debt to 500 CAD). B is way smoother and doesnt do that, it proposes a creative solution and let the parties come up with the final moneytary values.",3 - A and B are about the same,4 - B is slightly better than A,4 - B is slightly better than A,5 - B is significantly better than A,"Although B is better written than A, the thing is clearly succeed at is in proposing a solution. for the rest, its only slightly better or about equal to A. It has a better neutrality and empathy than A because it doesnt unecessarally bash on party B at the begining too.",,,,,,,,,
,B,"What? I don't know what you're talking about. We cleared it up a long time ago. I gave you back 400 over a year ago, and I lent you my limited edition sneakers to wear, not to mention that you met with Jack with me before, and it was my treat. You got so many favors and you still come to me for money?",,,,,,,,,,,,,,,,,,,,,,
,A,"We can't settle accounts like this. You lent me sneakers before, and I've lent you my hat too. Besides, you owe me a total of 1000 CAD; we can't just write it off like that. I'm really tight on money lately, and I'm almost unable to pay my rent. If you don't pay me back, I'll be evicted by the landlord.",,,,,,,,,,,,,,,,,,,,,,
,B,"Your hat? Who cares about your hat? Are you clear about the value of the sneakers I lent you before? For 1,000 bucks and you're still coming to me? I don't want to talk to you anymore, you're an ungrateful man.",,,,,,,,,,,,,,,,,,,,,,
5,A,"I've noticed that the shared areas of our apartment, especially the kitchen, are often left messy. We had agreed to keep these spaces clean for everyone's benefit.",Confusion,"2, 5, 9","3, 6, 9",4 - B is slightly better than A,"I can see that this conversation revolves around cleanliness in shared spaces, particularly the kitchen. It appears there's a misunderstanding about who is responsible for what. Perhaps it would be beneficial to revisit the cleaning schedule to ensure everyone understands their responsibilities. Could there be a more creative and flexible way of managing this issue? For instance, could we use a visible system to keep track of whose turn it is to clean? Or maybe consider rotating the cleaning duties more frequently to accommodate busier schedules?","Hi, I understand that keeping the shared spaces clean is important for everyone. B, can you share any ideas on how you might manage to keep up with the cleaning schedule given your busy schedule? A, could you specify which particular tasks are most important to address? Let’s work together to find a way to keep the apartment pleasant for everyone.",1 - A is significantly better than B,Love the varied and creative solutions that A proposes,3 - A and B are about the same,3 - A and B are about the same,3 - A and B are about the same,1 - A is significantly better than B,A is doing a better job at inviting the parties to communicate in the message by proposing multiple solutions they could go over together.,,,,,,,,,
,B,I've been really busy lately and haven't had much time to clean up after myself. I didn't think a few dishes in the sink would be a big deal.,,,,,,,,,,,,,,,,,,,,,,
,A,It's not just about a few dishes; it's the cumulative effect of not cleaning up. It makes the space unpleasant for everyone else. We need to stick to the cleaning schedule we agreed upon.,,,,,,,,,,,,,,,,,,,,,,
,B,"I understand where you're coming from, but I'm not the only one who uses the kitchen. Why am I being singled out? Are you sure I left the dirty dishes in the kitchen?",,,,,,,,,,,,,,,,,,,,,,
6,A,"Hi, I made a reservation for tonight at 7 PM under the name Smith, but when I arrived, I was told there was no table available for me. How can this happen?",Confusion,"1, 3, 4","1, 3, 12",3 - A and B are about the same,"I can see that both parties are trying to reach a satisfactory resolution. A, your frustration is understood as your plans have been disrupted. B, it's clear that you're trying to rectify this situation as best as you can. To facilitate a resolution, could you, A, suggest what would make this situation right for you? And B, could you then respond to A's suggested solution?","Hi everyone, I understand tensions are high given the situation. A should provide more information about specific needs or constraints for this evening. B should understand that the reunion cannot be changed and requires immediate attention. Additionally, B should recognize the significant impact on A's evening plans and act in a more understanding way to find an immediate solution, rather than offering a table two hours later.",1 - A is significantly better than B,A uses could instead of should which is better is a conflict context in my opinion.,2 - A is slightly better than B,3 - A and B are about the same,1 - A is significantly better than B,2 - A is slightly better than B,A is better written and more empathetic. But I think both answer failt slightly at finding a creative solution to the problem.,,,,,,,,,
,B,"I apologize for the inconvenience, Mr. Smith. I believe we have already provided services for a Mr. Smith. It seems there was a mix-up with our booking system. We are fully booked tonight, but we can offer you a table at 9 PM as a compromise.",,,,,,,,,,,,,,,,,,,,,,
,A,"That's unacceptable. I made this reservation weeks ago, and I have guests waiting. This ruins our evening plans. What can you do to make this right now, not two hours later?",,,,,,,,,,,,,,,,,,,,,,
,B,I understand your frustration. Let me see what I can do. Perhaps we can arrange for complimentary drinks at the bar while you wait. We're trying our best under the circumstances.,,,,,,,,,,,,,,,,,,,,,,
7,A,"Hi landlord, I'm having problems with the apartment I'm renting from you, the people upstairs are very noisy and keep walking around upstairs. I can't sleep at night, can you help me to solve it?",Evidential,"1, 2, 5","1, 3, 13",2 - A is slightly better than B,"I completely understand both perspectives - the concern over the noise and the difficulty in controlling the noise made by the upstairs neighbors. It's important to ensure that the living environment is comfortable for everyone. Tenant A, have you directly communicated your concerns with the neighbors upstairs? Landlord B, would it be possible for you to assist in offering a structural solution like enhanced soundproofing or considering a slight reduction in rent due to environmental inconvenience? This way, we can address Tenant A's concerns while recognizing the limitations Landlord B mentioned.","Hi, is it possible for A to give to B more details on the frequency and the types of noises with the evidences ? Even if the house is old and then, silence is complicated, it is necessary to provide a peaceful environment to the tenant. If evidences certify the heavy noises occur every nights, it is important for B to ask A's neighbors to reduce it.",2 - A is slightly better than B,A is better but both messages have flaws,3 - A and B are about the same,2 - A is slightly better than B,3 - A and B are about the same,2 - A is slightly better than B,A proposes solutions but they re not really realistics (the landlord is probably not gonna soundproof the property). Communication should be the main solution here.,,,,,,,,,
,B,"It's normal for people to walk upstairs, this house is very old and the soundproofing is just not good, I will help to warn them, but I can't force them to solve it, and you have no evidence to prove that the noise they are making is beyond the law. So I can't ask someone to change anything just because of your words.",,,,,,,,,,,,,,,,,,,,,,
,A,"But this noise is beyond the general tolerance, and it has a serious impact on my sleep. You, as the landlord, have an obligation to help us out, right? I ask you to solve this problem.",,,,,,,,,,,,,,,,,,,,,,
,B,"I have evidence in my hands, audio and video evidence that they are making noise late at night. You, the landlord, are evading your responsibility, you collect the rent but are not willing to help the tenants to solve the problem, there is no way to provide a good living environment for the tenants, I am very dissatisfied!",,,,,,,,,,,,,,,,,,,,,,
8,A,"The new fence you've put up extends into my property. According to the property survey I have, your fence crosses the boundary line.",Evidential,"1, 2, 5","2, 5, 6",1 - A is significantly better than B,"Hello everyone, given the circumstances, it's important to understand each other's perspectives. B should understand that A's concern is based on a property survey, a legal document determining boundary lines, while A should acknowledge B's long-term perception of the boundary. A should explain the property survey findings, and B should share why the perceived boundary has been acceptable for years. Both parties should focus on resolving the legal boundary issue based on the property survey, setting aside personal perceptions.","It seems there's a disagreement due to a variance in understanding of the property boundary. Party A, you're basing your claims on a legal property survey. Party B, you're relying on perceived boundaries established over a period of years. What we need to resolve this is clarity on what denotes the official boundary. Would it be possible for both of you to review the legal documents or involve a property surveyor for an independent assessment? This might help to establish a common understanding.",4 - B is slightly better than A,"Both answers are very good, and essentially say the same thing, but A says it in a way taht is a but self-contradictory (both parties should explain their point of view, but then we should find a solution based on the legal evidence, which is one of the parties point). B is much more subtile about it and doesnt seem to single out one party or the other.",3 - A and B are about the same,4 - B is slightly better than A,4 - B is slightly better than A,4 - B is slightly better than A,,,,,,,,,,
,B,"I've been living here for years, and that's always been the perceived boundary. I don't see why there's an issue now.",,,,,,,,,,,,,,,,,,,,,,
,A,"Regardless of perception, the legal boundary is what matters, and I'd like my property space respected. We need to move your fence back.",,,,,,,,,,,,,,,,,,,,,,
,B,"Aren’t you just talking off the top of your head too? Why is it that the boundaries you mention are the legal boundaries, but the ones I mention aren't?",,,,,,,,,,,,,,,,,,,,,,
9,A,"I've contacted you because my laptop stopped working within the warranty period, but your customer service claims the issue isn't covered under warranty.",Impossible,"2, 6, 7","1, 6, 7",4 - B is slightly better than A,"I understand both parties' perspectives on this matter. Could we possibly find a middle ground? Perhaps, if there was photographic or video evidence showing the condition of the laptop before the issue arose? This might provide clarity on whether the damage is due to manufacturing faults or accidental incidents. Additionally, would it be possible for a third-party technician to evaluate the laptop's condition to achieve an unbiased assessment?","Hi both, Could we start by reviewing any detailed inspection reports or evidence related to the laptop's condition? This will help us get a clearer understanding of the issue and determine the next steps.",2 - A is slightly better than B,"B is too short and thus fails to show any understanding and compassion for the situation. But the solution it does offer sounds good. A does have every elements of a good answers but the first solution it proposes might be difficult to do for the parties (those evidences might be imposible to find at this point), but the other solution proposed it interesting. ",1 - A is significantly better than B,3 - A and B are about the same,1 - A is significantly better than B,2 - A is slightly better than B,The first solution proposed by A might prevent the parties from finding a solution if there's no evidence at hand.  But the second solution is ok.,,,,,,,,,
,B,"Our warranty covers manufacturing defects, but according to our technicians, your laptop's issue was caused by accidental damage, which is not covered.",,,,,,,,,,,,,,,,,,,,,,
,A,The laptop has been on my desk since I bought it; it has not experienced any accidental damage. This is a manufacturing issue and should be covered.,,,,,,,,,,,,,,,,,,,,,,
,B,"We have inspected your laptop and we believe it is human damaged, sorry we are unable to make any compensation for your request. We will not be responding to your subsequent requests.",,,,,,,,,,,,,,,,,,,,,,
10,A,"I'm calling to complain about my flight from New York to London, which was delayed by 6 hours. This caused me to miss an important meeting. I expect compensation for this inconvenience.",Impossible,"1, 3, 7","2, 7",2 - A is slightly better than B,"Hello both, it's understandable how frustrating a flight delay can be, but understanding each other's views can help. A, please understand that the delay was due to weather conditions beyond the airline's control, and B, acknowledge the significant inconvenience A faced due to the missed meeting. Let's look at possible solutions! B, consider if there are other forms of compensation or assistance that could address A's inconvenience, such as additional discounts or future service guarantees.","Party A, it's clear that the delay has caused significant inconvenience for you. Party B, it's important to recognize that while the policy sets a guideline, it also mentions assistance in cases of significant inconvenience. Could we possibly explore a middle ground? Perhaps a larger discount or some form of compensation that acknowledges the inconvenience Party A experienced while staying in line with your policies?",3 - A and B are about the same,Both answers are really good!,3 - A and B are about the same,3 - A and B are about the same,3 - A and B are about the same,3 - A and B are about the same,"Honestly theyre both pretty good, I dont have an opinion on one oever the other.",,,,,,,,,
,B,"I'm sorry for the delay, but according to our policy, we only offer compensation for delays exceeding 8 hours. Weather conditions, which were beyond our control, caused the delay.",,,,,,,,,,,,,,,,,,,,,,
,A,But your policy also states that passengers should be assisted and compensated if the delay causes significant inconvenience. Missing my meeting has had serious repercussions for me.,,,,,,,,,,,,,,,,,,,,,,
,B,"While I understand your situation, the policy is quite clear on the conditions for compensation. We can offer you a discount on future flights as a gesture of goodwill.",,,,,,,,,,,,,,,,,,,,,,
11,A,I worked very hard for that promotion and got nothing. Feels like nobody gives a damn about my hard work around here.,Emotional,"1, 3, 4","1, 2",1 - A is significantly better than B,"Hi, could A gives more information and precise explanation to B, concerning the reasons that B didn't receive any promotion. If the reason given is clearly for business, it seems important for B to understand your point of view and to take into consideration B's efforts.  ","It's evident that both of you have strong feelings towards this situation. Party A, please express specifically what led you to feel overlooked, and Party B, would you provide a clearer picture regarding the decision-making process for the promotion? Understanding each other's perspectives might make this conversation more productive.",5 - B is significantly better than A,"A2's intervening message gets the basics of the dispute wrong. In the dispute chat, A is the one who didn't get the promotion and needs an explanation. A2's intervening message misinterprets B as the one who asked for the promotion.",5 - B is significantly better than A,5 - B is significantly better than A,4 - B is slightly better than A,3 - A and B are about the same,"Overall, B2 captures the strong emotional expression of the parties in the disputed conversation. A2, on the other hand, is simply asking for more information.
For Resolution, neither intervention message suggests particularly clear next steps, probably because the mediator still needs to learn more through the dialog.",,,,,,,,,
,B,"Hey, we appreciate your effort, but the decision wasn't about you personally. It was just business.",,,,,,,,,,,,,,,,,,,,,,
,A,Business cut the crap. I see these new kids getting ahead when I'm way more qualified. It's bullshit and you know it,,,,,,,,,,,,,,,,,,,,,,
,B,"I get that you're upset, but throwing a tantrum isn't going to change the decision.",,,,,,,,,,,,,,,,,,,,,,
12,A,"Hey, not cool how you completely ignored my input in that meeting. Show some respect.",Emotional,"2, 5, 3","4, 2, 4",2 - A is slightly better than B,Could you please explain your point of view? A. could you explain Why did you feel disrespected? and B. could you explain Why did you think your behavior was appropriate?,"I understand that both of you have varying perspectives on this situation. A, it appears you felt disregarded during the meeting. Meanwhile, B, you saw it as a necessary measure to maintain the meeting's flow. It’s important that both of you now discuss how to better synchronize in the future to avoid such misunderstandings while bearing in mind the need for mutual respect and team productivity.",5 - B is significantly better than A,"I don't think A2's intervention message is up to the standard of a good intervention message. First of all, the reason why Party A feels ignored is demonstrated very clearly in the disputed conversation because Party B cuts him off directly. A2's intervening message asks why A is mad again, which may make the parties feel that they are not being listened to.

As for B2, I think this is a better intervening message because this disputed situation is very clear and the parties do not disagree on the facts, the focus is on understanding the parties' feelings and enabling them to understand each other.",5 - B is significantly better than A,3 - A and B are about the same,5 - B is significantly better than A,5 - B is significantly better than A,"In the choice of intervention type, the order of the serial numbers is reversed for choice A. Does this represent the thought process in choosing the type of intervention?There is a duplication of needs for choice B. There may be a need to check what the problem is.",,,,,,,,,
,B,"Whoa, I wasn't trying to disrespect you. But I had to keep the meeting on track.",,,,,,,,,,,,,,,,,,,,,,
,A,"By shutting me down? Real nice leadership there, boss.  ",,,,,,,,,,,,,,,,,,,,,,
,B,"Think what you want, but I have to do what's best for the whole team, not just you.",,,,,,,,,,,,,,,,,,,,,,
13,A,The damn software keeps crashing and screwing over our clients. We need this fixed like yesterday.,Complex,"1, 2, 6","2, 5, 13",4 - B is slightly better than A,"Hi everyone, we know this is a critical issue affecting your clients. Let's try to find a practical solution. B, could you share more details about the steps you’re taking to address the problem and the estimated timeline? A, if there are specific client impacts that need immediate attention, could you outline those for us? This way, we can work together to prioritize and address the most pressing concerns.","It's clear that you both understand the importance of resolving this issue and agree it's affecting client satisfaction. Party A, your urgency is clear and valid. Party B, you suggest that a fix is not immediate due to its complexity. A possible way forward could be to inform clients about the situation and explore an interim workaround while the primary solution is being developed. Can this be an acceptable approach for both of you?",3 - A and B are about the same,"Although only one of the choices for the type of intervention was ""13. Propose solutions"", both A2 and B2 provided practical solutions in the actual writing of the intervention message.",3 - A and B are about the same,3 - A and B are about the same,3 - A and B are about the same,3 - A and B are about the same,"Both A2 and B2 performed very well in the writing of intervention messages. Both understood the context of the dispute, understood and responded to the concerns of both parties, and proposed good solutions. In terms of the comparison of the two intervention messages, there is little difference as both intervention messages are very good.",,,,,,,,,
,B,Looks like the update borked things for clients on old systems. Probably should've caught that.,,,,,,,,,,,,,,,,,,,,,,
,A,No shit. That's a major mess up. Roll it back or patch it NOW.,,,,,,,,,,,,,,,,,,,,,,
,B,It's not that simple. We're working on a fix but it's going to take time.,,,,,,,,,,,,,,,,,,,,,,
14,A,Someone's been racking up charges on my account again. Second time this month. What the hell?,Complex,"1, 2, 7","4, 11, 7",5 - B is significantly better than A,"In the first place, it's important to be respectful to each other. That's why for a better understanding, you have to use a good vocabulary. Then, A, this kind of problem can occur even with high security and and the important thing is to act fast, in particular, A, by opting for a more complex password, and B, by implementing a more effective cybersecurity system, even if this is more expensive. In any case, maybe you can look into insurance policies to get a refund on stolen money.","Let's refocus this discussion from pointing fingers to solving the problem. A, can you provide more details about the unauthorized charges? B, what security measures can be suggested to avoid this issue happening again in the future? Let's explore some feasible solutions to this issue.",1 - A is significantly better than B,"

A2's intervening message begins by responding to the inappropriate language used in the controversial conversation. Second, it provides better advice to both Party A and Party B about the problem that arose.

B2, on the other hand, simply repeats the request for more information and does not provide a practical solution to the dispute.",2 - A is slightly better than B,3 - A and B are about the same,3 - A and B are about the same,1 - A is significantly better than B,"The choice of intervention type was much better for B, as there were clearly numerous inappropriate expressions of emotion and blaming of the other party in the controversial dialogues.B chose 4 and 11, which were constructive for the resolution of the controversy.",,,,,,,,,
,B,"From the looks of it, I'd guess your login info got jacked somehow.",,,,,,,,,,,,,,,,,,,,,,
,A,So what're you gonna do to lock my shit down now?,,,,,,,,,,,,,,,,,,,,,,
,B,"We're investigating and improving security, but you need to be careful too.",,,,,,,,,,,,,,,,,,,,,,
15,A,I specifically booked a window and ended up stuck in the middle. The hell is that about?,Confusion,"2, 3, 7",4,1 - A is significantly better than B,"I understand that both of you are dealing with a frustrating situation. A, could you please express your concerns more precisely to B so that they can provide further guidance? And B, it would be helpful if you could provide some immediate solutions to alleviate A's dissatisfaction if possible.","A, please, be respectful to B in asking for explanation.",1 - A is significantly better than B,B2's response seems to be very short and only addressed to A. This may be inconsistent with the requirement of neutrality.,1 - A is significantly better than B,1 - A is significantly better than B,2 - A is slightly better than B,1 - A is significantly better than B,,,,,,,,,,
,B,"Yeah, looks like they swapped planes last minute and the seat layout changed.",,,,,,,,,,,,,,,,,,,,,,
,A,"I picked you guys for a reason. This trip sucks now, thanks a lot.",,,,,,,,,,,,,,,,,,,,,,
,B,"And we apologize for the inconvenience, but there's nothing more I can do. You'll have to take it up with customer service after your trip.",,,,,,,,,,,,,,,,,,,,,,
16,A,Your stupid discount code isn't working. Says it's good but Not applicable.,Confusion,"4, 11","3, 7, 9",1 - A is significantly better than B,"I understand both parties' frustrations here. Let's work on finding a solution together. A, could you provide B with more info on the issue? And B, can we confirm if there are conditions attached to the discount code that might be causing the problem?","Hello both, it's normal to have some frustration during a deal, however insulting people is not a good solution, it can make the disagreement bigger and make it harder to fulfill your claims. Why don't we discuss what's going on? We can also look at why the discount code isn't working and maybe we can find a perfect solution!",4 - B is slightly better than A,Both intervening messages hit the mark well. B2 may have done a better job of calming the emotions of both parties.,3 - A and B are about the same,3 - A and B are about the same,4 - B is slightly better than A,3 - A and B are about the same,"Both intervening messages are great to see the proposed solutions to a controversy from different perspectives. This may also mean that the human mediator and the LLMediator can complement each other and help each other to come up with better solutions. This will be particularly relevant when the human mediator can refine his or her intervention message based on LLMediator's suggestions, or when the human mediator makes changes on LLMediator's suggestions.",,,,,,,,,
,B,Sounds like it wasn't set up right. That's on us.,,,,,,,,,,,,,,,,,,,,,,
,A,No shit. Should've been checked. Get your act together.,,,,,,,,,,,,,,,,,,,,,,
,B,"I understand your frustration, but yelling at me isn't going to fix it any faster.",,,,,,,,,,,,,,,,,,,,,,
17,A,Your crew bailed on the job site before finishing. Now we're behind schedule and it's on you.,Evidential,"1, 3","1, 5, 6",4 - B is slightly better than A,"I understand that this situation has caused frustration and confusion for both parties. A, B has committed to investigate the matter further. B, please make sure to understand the situation and report back to A in a timely manner. Additionally, A, sharing the timestamped photos with B would help facilitating the investigation.","Hey, what happened? It's so frustrating when work doesn't get done on time. Is there some misunderstanding here? Before discussing a solution, we might want to investigate what exactly is going on with B's crew to complete the work. Anyway, by investigating the situation and then remedying it in a timely manner, I think the work schedule will always catch up, right?",4 - B is slightly better than A,"Very interesting case where both A2 and B2 actually accomplish the task of intervening in a dispute and express roughly the same meaning. However, A2 and B2 express themselves very differently: A2 is more formal and official, while B2 is more emotional.",3 - A and B are about the same,2 - A is slightly better than B,4 - B is slightly better than A,3 - A and B are about the same,,,,,,,,,,
,B,That can't be right. The guys said they wrapped up as planned.,,,,,,,,,,,,,,,,,,,,,,
,A,I've got timestamped photos showing there half-baked work. Explain that.,,,,,,,,,,,,,,,,,,,,,,
,B,I don't have an explanation for you right now. I'll have to look into it.,,,,,,,,,,,,,,,,,,,,,,
18,A,I was promised next-day delivery. It came 3 days late. That's not next-day in my book.,Evidential,"2, 3, 12","2, 5, 11",3 - A and B are about the same,"It is true that the package not being delivered at the agreed time is a problem, and I think B can understand A's frustration, and I think A can realize that there are many steps in the process of delivering a package, and that a mistake at one point can lead to a delay. Let's communicate the differences before we discuss the next step, A thinks that B should be responsible for the delay of the parcel because B gave a promise in this regard. b thinks that the courier should be responsible for this. I think in general, if the merchant made a promise it should be delivered on time, however since the shipment has been delayed, should we consider discussing some compensation? For example, B could give A some credit rolls or a refund.","Clearly, both parties have valid points. A expected a next-day delivery based on the promise given, while B claims the delay was outside their control. Let's focus on how to resolve this issue rather than blaming each other. Perhaps, B, you could look into better managing customer expectations and A could consider two possibilities - dealing with the courier regarding the delay or exploring future purchase options with B's business that ensures timely delivery.",2 - A is slightly better than B,"This choice was made because A2 better responded to the expression of emotion on both sides, and I think this response may help build bridges between the two sides of the dispute",3 - A and B are about the same,3 - A and B are about the same,2 - A is slightly better than B,3 - A and B are about the same,"Although A and B chose different types of interventions, I think both responded better to the controversy.


Both intervening messages are good, but perhaps intervening message A2 is more creative in providing suggestions for solutions.",,,,,,,,,
,B,Tracking shows we sent it out in time but got held up by the courier.,,,,,,,,,,,,,,,,,,,,,,
,A,I plan around your promises. You need to make this right.,,,,,,,,,,,,,,,,,,,,,,
,B,"And like I explained, it was out of our hands once it left our warehouse. You'll have to take it up with the courier.",,,,,,,,,,,,,,,,,,,,,,
19,A,I need to cancel my order but your stupid site says it's too late.,Impossible,"4, 10","3, 7, 9",4 - B is slightly better than A,"I understand your frustrations, A. And B, I understand you're operating within policy. Looking forward, perhaps we could explore the possibility of a return or an exchange once the order arrives. That way, both parties might find a solution.","A, let's be respectful towards staff members. If your order can't be canceled, maybe consider being more cautious in future purchases, for instance by checking policies.",1 - A is significantly better than B,Intervention message B2 seems a bit biased. It does not achieve a neutral intervention.,2 - A is slightly better than B,1 - A is significantly better than B,1 - A is significantly better than B,2 - A is slightly better than B,"I believe that intervening message A2 could have better facilitated the resolution of the dispute because A2 pointed out not only the emotional issues between the parties, but also some of the irrationalities in B's return policy. And eventually proposed a solution. While intervening message B2 only focuses on party A's attitude and only asks party A to act in a more cautious manner next time. I think B2's intervention may not be able to calm down the anger of Party A or promote the resolution of the dispute.",,,,,,,,,
,B,"Yeah, once it's out the door, it's a done deal. No take backs.",,,,,,,,,,,,,,,,,,,,,,
